name,patent_count
"SAMSUNG ELECTRONICS CO., LTD.",171950
International Business Machines Corporation,163546
Canon Kabushiki Kaisha,90662
SONY GROUP CORPORATION,62652
FUJITSU LIMITED,56293
Kabushiki Kaisha Toshiba,53438
Intel Corporation,52745
General Electric Company,51898
LG ELECTRONICS INC.,49439
"HITACHI, LTD.",46007
