name,patent_count
Shunpei Yamazaki,6761
Kia Silverbrook,4778
Tao Luo,4336
Jonathan P. Ive,2877
Kangguo Cheng,2819
Junyi Li,2789
"Frederick E. Shelton, IV",2670
Peter Gaal,2504
Duncan Robert Kerr,2466
Bartley K. Andre,2412
